event name,latitude,longitude,depth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,MrrError,MttError,MppError,MrtError,MrpError,MtpError,half duration,moment,magnitude,exponent,year,month,day,dayofweek,is_weekend,is_weekday,hour,minute,second
16,-31.22,-67.69,20.8,29.039632203191626,27.775756037844097,29.00905551639802,28.493444108733453,29.18467212841168,28.418649250519604,25.204119982655925,25.0,25.041392685158225,27.313234291694723,27.48415742436538,24.845098040014257,21.0,27.27044590801796,7.45,27,1977,11,23,2,0,1,9,26,48
17,-31.53,-68.05,46.5,29.03222392941082,27.775246624081092,29.016895320298225,28.493264924777485,29.1844906438494,28.42060521816391,23.00432137378264,23.235528446907548,23.17897694729317,27.301056052551196,27.477139639463587,23.056904851336473,2.1,24.472756449317213,5.58,24,1977,11,24,3,0,1,18,20,20
18,-32.02,-68.21,33.1,29.032220937381926,27.77528065216959,29.016896473213777,28.493281411283288,29.184489127372906,28.420607081351598,23.133538908370216,23.380211241711606,23.294466226161592,27.30109513495094,27.47716091847106,23.123851640967086,2.5,24.454692449239477,5.57,24,1977,11,28,0,0,1,4,19,39
19,-31.67,-67.64,15.0,29.032263041639176,27.775332235707435,29.016849936437303,28.49320367374007,29.184529831854842,28.420650723824387,23.792391689498253,24.037426497940622,24.0,27.30145756518522,27.47751628298758,23.778151250383644,4.3,25.307496037913214,6.14,25,1977,11,28,0,0,1,6,31,38
20,-31.57,-68.22,32.0,29.032216695278674,27.77531875754944,29.016898682960022,28.493259680207878,29.184494179434143,28.420680118605677,23.357934847000454,23.60530504614111,23.53529412004277,27.30113117449139,27.47719117050318,23.372912002970107,3.2,24.700876708376903,5.73,24,1977,12,5,0,0,1,15,43,35
21,-31.43,-68.11,19.0,29.032240385201284,27.775376528545465,29.01687082847416,28.493270545881504,29.184493977807193,28.420593181449078,23.35983548233989,23.505149978319906,23.45178643552429,27.30114723934691,27.477236472237347,23.456366033129044,3.5,24.92121812119495,5.88,24,1977,12,6,1,0,1,17,5,16
22,-28.58,-67.32,143.9,29.032208283533144,27.775219880650116,29.016913060656314,28.4932661243244,29.184487423460418,28.420599001984346,22.94939000664491,23.22271647114758,23.193124598354462,27.301053229797255,27.477133559555664,23.184691430817598,2.0,24.284656282788514,5.46,24,1977,12,7,2,0,1,0,32,41
23,-31.28,-68.03,34.9,29.03222024380894,27.77523000982726,29.016900099029684,28.493260070763117,29.184490805720174,28.420615539793406,22.924279286061882,23.130333768495007,23.10720996964787,27.30106560635148,27.477154115092258,23.041392685158225,1.9,24.30513631894364,5.47,24,1977,12,10,5,1,0,7,11,57
24,-37.96,-71.61,144.0,29.032214961327202,27.775207346377258,29.016906866024495,28.493260070763117,29.184491013028268,28.42063974354712,22.93951925261862,23.130333768495007,23.133538908370216,27.30104736709583,27.477133704316365,23.146128035678238,1.0,24.288919605661725,5.46,24,1978,1,2,0,0,1,8,27,43
25,-31.53,-68.08,23.0,29.032219634915467,27.775824302668745,29.016866634272645,28.493330183685416,29.184490683607137,28.42059267029353,23.424881636631067,23.62940959910272,23.525044807036846,27.301115543250756,27.477182630669308,23.3541084391474,3.8,25.032215703297982,5.95,25,1978,1,17,1,0,1,11,33,21
26,-34.55,-70.04,109.3,29.032205251071026,27.775206617629333,29.01691696619468,28.493255342231436,29.184482411079085,28.420618969290125,23.100370545117563,23.352182518111363,23.406540180433954,27.301054098338884,27.477142245112358,23.328379603438737,2.0,24.48600518636224,5.59,24,1978,1,20,4,0,1,4,43,3
