date,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,et0_fao_evapotranspiration,vapor_pressure_deficit,time_of_day,region
1940-01-01,21.35,79.207016,17.6,0.0,0.0,0.0,0.0,0.07215152,0.5283308,Madrugada,"Point (-30, 180)"
1940-01-01,21.3,79.700966,17.65,0.0,0.0,0.0,0.0,0.10051314,0.5142021,Madrugada,"Point (-30, 180)"
1940-01-01,21.35,79.45708,17.65,0.0,0.0,0.0,0.0,0.1504226,0.52197504,Madrugada,"Point (-30, 180)"
1940-01-01,21.4,78.71613,17.55,0.0,0.0,0.0,0.0,0.26172468,0.54246235,Madrugada,"Point (-30, 180)"
1940-01-01,21.45,78.97183,17.65,0.0,0.0,0.0,0.0,0.33535308,0.53758216,Madrugada,"Point (-30, 180)"
1940-01-01,21.5,78.73047,17.65,0.0,0.0,0.0,0.0,0.3975854,0.5454178,Madrugada,"Point (-30, 180)"
1940-01-01,28.081,80.364334,24.381,,,0.0,0.0,,0.74495435,Madrugada,"Point (-30, -120)"
1940-01-01,28.131,79.890854,24.331,,,0.0,0.0,,0.7651422,Madrugada,"Point (-30, -120)"
1940-01-01,28.181,79.65856,24.331,,,0.0,0.0,,0.7762332,Madrugada,"Point (-30, -120)"
1940-01-01,28.181,80.37737,24.480999,,,0.0,0.0,,0.74879193,Madrugada,"Point (-30, -120)"
1940-01-01,28.230999,80.62467,24.581,,,0.0,0.0,,0.741498,Madrugada,"Point (-30, -120)"
1940-01-01,28.230999,80.86611,24.631,,,0.0,0.0,,0.73225474,Madrugada,"Point (-30, -120)"
1940-01-01,28.230999,81.35082,24.730999,,,0.0,0.0,,0.71369624,Madrugada,"Point (-30, -120)"
1940-01-01,28.131,81.825905,24.730999,0.1,0.1,0.0,0.0,0.07902475,0.6914849,Madrugada,"Point (-30, -120)"
1940-01-01,27.681,85.01191,24.931,0.2,0.2,0.0,0.0,0.0635021,0.5555055,Madrugada,"Point (-30, -120)"
1940-01-01,27.480999,87.04378,25.131,0.3,0.3,0.0,0.0,0.055013273,0.47461414,Madrugada,"Point (-30, -120)"
1940-01-01,27.081,89.64103,25.230999,0.2,0.2,0.0,0.0,0.04072203,0.37069058,Madrugada,"Point (-30, -120)"
1940-01-01,26.980999,90.43774,25.281,0.2,0.2,0.0,0.0,0.03638743,0.3401792,Madrugada,"Point (-30, -120)"
1940-01-01,27.031,90.44108,25.331,0.1,0.1,0.0,0.0,0.036463547,0.3410561,Madrugada,"Point (-30, -120)"
1940-01-01,27.131,89.64468,25.281,0.1,0.1,0.0,0.0,0.04044687,0.3716452,Madrugada,"Point (-30, -120)"
1940-01-01,27.081,89.90817,25.281,0.1,0.1,0.0,0.0,0.06100042,0.36112905,Madrugada,"Point (-30, -120)"
1940-01-01,27.181,89.38209,25.281,0.1,0.1,0.0,0.0,0.13284114,0.38218665,Madrugada,"Point (-30, -120)"
1940-01-01,27.281,89.124115,25.331,0.1,0.1,0.0,0.0,0.21274742,0.39376688,Madrugada,"Point (-30, -120)"
1940-01-01,27.331,88.59945,25.281,0.1,0.1,0.0,0.0,0.31712455,0.41397476,Madrugada,"Point (-30, -120)"
1940-01-01,27.331,88.3362,25.230999,0.1,0.1,0.0,0.0,0.37637532,0.4235363,Madrugada,"Point (-30, -120)"
1940-01-01,27.331,88.3362,25.230999,0.1,0.1,0.0,0.0,0.4332762,0.4235363,Madrugada,"Point (-30, -120)"
1940-01-01,27.381,88.07778,25.230999,0.1,0.1,0.0,0.0,0.45494738,0.43418694,Madrugada,"Point (-30, -120)"
1940-01-01,27.581,87.31215,25.281,0.1,0.1,0.0,0.0,0.4472,0.46749783,Madrugada,"Point (-30, -120)"
1940-01-01,27.681,86.80313,25.281,0.1,0.1,0.0,0.0,0.440874,0.4890983,Madrugada,"Point (-30, -120)"
1940-01-01,27.831,85.535225,25.181,0.1,0.1,0.0,0.0,0.41146696,0.54080224,Madrugada,"Point (-30, -120)"
1940-01-01,27.831,85.28094,25.131,0.1,0.1,0.0,0.0,0.32183298,0.550313,Madrugada,"Point (-30, -120)"
1940-01-01,27.831,84.27027,24.931,0.1,0.1,0.0,0.0,0.24578862,0.5881126,Madrugada,"Point (-30, -120)"
1940-01-01,27.831,83.51919,24.781,0.0,0.0,0.0,0.0,0.17580916,0.6162045,Madrugada,"Point (-30, -120)"
1940-01-01,27.781,83.26442,24.681,0.0,0.0,0.0,0.0,0.10149186,0.6239166,Madrugada,"Point (-30, -120)"
1940-01-01,27.831,83.02169,24.681,0.0,0.0,0.0,0.0,0.07323342,0.6348121,Madrugada,"Point (-30, -120)"
1940-01-01,27.881,81.79542,24.480999,0.0,0.0,0.0,0.0,0.079357974,0.6826613,Madrugada,"Point (-30, -120)"
1940-01-01,27.881,81.30713,24.381,0.0,0.0,0.0,0.0,0.08034659,0.70097923,Madrugada,"Point (-30, -120)"
1940-01-01,27.881,80.097534,24.131,0.0,0.0,0.0,0.0,0.08280583,0.7463584,Madrugada,"Point (-30, -120)"
1940-01-01,27.781,78.88982,23.781,0.0,0.0,0.0,0.0,0.08226036,0.7870796,Madrugada,"Point (-30, -120)"
1940-01-01,27.681,77.22886,23.331,0.0,0.0,0.0,0.0,0.0841309,0.84411,Madrugada,"Point (-30, -120)"
1940-01-01,27.631,74.016594,22.581,0.0,0.0,0.0,0.0,0.07907903,0.9604521,Madrugada,"Point (-30, -120)"
1940-01-01,27.531,72.00079,22.031,0.0,0.0,0.0,0.0,0.08180312,1.0289967,Madrugada,"Point (-30, -120)"
1940-01-01,27.581,70.272896,21.681,0.0,0.0,0.0,0.0,0.08390142,1.0957282,Madrugada,"Point (-30, -120)"
1940-01-01,27.681,68.38248,21.331,0.0,0.0,0.0,0.0,0.08836086,1.1722653,Madrugada,"Point (-30, -120)"
1940-01-01,27.730999,66.939384,21.031,0.0,0.0,0.0,0.0,0.11785879,1.2293828,Madrugada,"Point (-30, -120)"
1940-01-01,27.881,65.544754,20.831,0.0,0.0,0.0,0.0,0.22538802,1.2925138,Madrugada,"Point (-30, -120)"
1940-01-01,27.980999,65.565475,20.931,0.0,0.0,0.0,0.0,0.3486043,1.299267,Madrugada,"Point (-30, -120)"
1940-01-01,27.980999,66.98957,21.281,0.0,0.0,0.0,0.0,0.4820264,1.2454937,Madrugada,"Point (-30, -120)"
1940-01-01,28.031,67.82528,21.531,0.0,0.0,0.0,0.0,0.5694995,1.2174709,Madrugada,"Point (-30, -120)"
1940-01-01,28.031,70.14207,22.081,0.0,0.0,0.0,0.0,0.58417183,1.1297469,Madrugada,"Point (-30, -120)"
1940-01-01,27.931,73.396065,22.730999,0.0,0.0,0.0,0.0,0.63244253,1.0007198,Madrugada,"Point (-30, -120)"
1940-01-01,27.931,75.42315,23.181,0.0,0.0,0.0,0.0,0.6002374,0.9244292,Madrugada,"Point (-30, -120)"
1940-01-01,28.131,73.42985,22.931,0.0,0.0,0.0,0.0,0.54883,1.0111248,Madrugada,"Point (-30, -120)"
1940-01-01,28.031,75.8958,23.381,0.0,0.0,0.0,0.0,0.4790728,0.91192484,Madrugada,"Point (-30, -120)"
1940-01-01,27.289,58.489895,18.439,,,0.232,0.265,,1.5045846,Madrugada,"Point (-30, -60)"
1940-01-01,26.939,60.64545,18.689,,,0.232,0.265,,1.3974817,Madrugada,"Point (-30, -60)"
1940-01-01,26.239,64.394485,18.989,,,0.232,0.265,,1.2133384,Madrugada,"Point (-30, -60)"
1940-01-01,25.838999,67.600174,19.389,,,0.232,0.265,,1.0782895,Madrugada,"Point (-30, -60)"
1940-01-01,25.439,70.74535,19.739,,,0.232,0.265,,0.950794,Madrugada,"Point (-30, -60)"
1940-01-01,24.989,74.25883,20.088999,,,0.232,0.265,,0.8145087,Madrugada,"Point (-30, -60)"
1940-01-01,24.489,77.462234,20.289,,,0.232,0.265,,0.6921861,Madrugada,"Point (-30, -60)"
1940-01-01,24.189,79.84691,20.489,0.0,0.0,0.232,0.265,0.014813935,0.6079292,Madrugada,"Point (-30, -60)"
1940-01-01,24.139,80.5821,20.588999,0.0,0.0,0.232,0.265,0.006833802,0.5839956,Madrugada,"Point (-30, -60)"
1940-01-01,23.439,83.53171,20.489,0.2,0.2,0.232,0.265,0.00431914,0.4748993,Madrugada,"Point (-30, -60)"
1940-01-01,25.338999,82.984505,22.239,0.0,0.0,0.234,0.266,0.047870908,0.5496166,Madrugada,"Point (-30, -60)"
1940-01-01,26.189,78.66659,22.189,0.0,0.0,0.234,0.266,0.14004321,0.7246356,Madrugada,"Point (-30, -60)"
1940-01-01,26.838999,72.54162,21.489,0.0,0.0,0.234,0.266,0.24816924,0.96910715,Madrugada,"Point (-30, -60)"
1940-01-01,26.889,70.793465,21.139,0.5,0.5,0.241,0.266,0.25536817,1.0338697,Madrugada,"Point (-30, -60)"
1940-01-01,24.889,78.00047,20.789,3.2,3.2,0.282,0.266,0.23705554,0.6919389,Madrugada,"Point (-30, -60)"
1940-01-01,23.838999,89.94757,22.088999,6.8,6.8,0.352,0.266,0.16763955,0.29689574,Madrugada,"Point (-30, -60)"
1940-01-01,24.439,85.71482,21.889,3.0,3.0,0.353,0.266,0.26163146,0.43735576,Madrugada,"Point (-30, -60)"
1940-01-01,25.838999,81.29615,22.389,0.4,0.4,0.356,0.266,0.4012162,0.6223078,Madrugada,"Point (-30, -60)"
1940-01-01,26.739,75.92425,22.139,0.8,0.8,0.371,0.267,0.4342519,0.84469604,Madrugada,"Point (-30, -60)"
1940-01-01,26.588999,78.48435,22.539,0.3,0.3,0.43,0.284,0.42725357,0.7482202,Madrugada,"Point (-30, -60)"
1940-01-01,25.838999,82.7909,22.689,0.1,0.1,0.428,0.288,0.3142889,0.5725579,Madrugada,"Point (-30, -60)"
1940-01-01,25.739,82.02837,22.439,2.4,2.4,0.419,0.291,0.19643304,0.59441614,Madrugada,"Point (-30, -60)"
1940-01-01,23.838999,88.857155,21.889,4.4,4.4,0.425,0.274,0.08990533,0.3291068,Madrugada,"Point (-30, -60)"
1940-01-01,23.189,91.28646,21.689,2.4,2.4,0.43,0.278,0.03097256,0.24748898,Madrugada,"Point (-30, -60)"
1940-01-01,22.989,91.83414,21.588999,0.1,0.1,0.421,0.281,0.0019898769,0.22915149,Madrugada,"Point (-30, -60)"
1940-01-01,23.039,91.55667,21.588999,0.1,0.1,0.414,0.283,0.00014021354,0.23765421,Madrugada,"Point (-30, -60)"
1940-01-01,22.939,92.39465,21.639,0.4,0.4,0.413,0.285,0.0,0.21277666,Madrugada,"Point (-30, -60)"
1940-01-01,22.889,92.95855,21.689,0.0,0.0,0.409,0.287,0.0,0.19640565,Madrugada,"Point (-30, -60)"
1940-01-01,22.588999,93.800705,21.539,0.8,0.8,0.411,0.289,0.0,0.16980481,Madrugada,"Point (-30, -60)"
1940-01-01,21.639,95.7992,20.939,3.1,3.1,0.421,0.291,0.0,0.10860968,Madrugada,"Point (-30, -60)"
1940-01-01,21.389,95.79143,20.689,2.3,2.3,0.438,0.295,0.0,0.107164145,Madrugada,"Point (-30, -60)"
1940-01-01,21.289,95.19951,20.489,3.0,3.0,0.444,0.3,0.0,0.12149191,Madrugada,"Point (-30, -60)"
1940-01-01,21.088999,95.48683,20.338999,3.1,3.1,0.448,0.307,0.0,0.112831354,Madrugada,"Point (-30, -60)"
1940-01-01,21.088999,95.78205,20.389,4.0,4.0,0.458,0.321,0.0,0.105449915,Madrugada,"Point (-30, -60)"
1940-01-01,22.139,95.81473,21.439,5.0,5.0,0.454,0.359,0.020188272,0.11155105,Madrugada,"Point (-30, -60)"
1940-01-01,21.939,95.80855,21.239,5.0,5.0,0.456,0.38,0.031302653,0.110366344,Madrugada,"Point (-30, -60)"
1940-01-01,22.139,94.93815,21.289,2.0,2.0,0.448,0.39,0.085818194,0.1349163,Madrugada,"Point (-30, -60)"
1940-01-01,22.039,91.213905,20.539,0.1,0.1,0.44,0.392,0.13145526,0.23277593,Madrugada,"Point (-30, -60)"
1940-01-01,22.588999,86.06024,20.139,0.0,0.0,0.434,0.394,0.15387133,0.38187385,Madrugada,"Point (-30, -60)"
1940-01-01,25.289,79.50707,21.489,0.2,0.2,0.431,0.395,0.28118742,0.66002536,Madrugada,"Point (-30, -60)"
1940-01-01,25.989,77.921814,21.838999,0.4,0.4,0.43,0.395,0.31254435,0.74115825,Madrugada,"Point (-30, -60)"
1940-01-01,26.689,74.996124,21.889,0.1,0.1,0.426,0.395,0.43534476,0.874707,Madrugada,"Point (-30, -60)"
1940-01-01,27.539,70.6959,21.739,0.1,0.1,0.422,0.395,0.55533504,1.0774853,Madrugada,"Point (-30, -60)"
1940-01-01,28.239,65.8204,21.239,0.0,0.0,0.417,0.394,0.38834935,1.3091013,Madrugada,"Point (-30, -60)"
1940-01-01,28.389,65.44889,21.289,0.0,0.0,0.413,0.394,0.36541012,1.3348963,Madrugada,"Point (-30, -60)"
1940-01-01,28.039,66.591675,21.239,0.0,0.0,0.41,0.393,0.28436533,1.2647719,Madrugada,"Point (-30, -60)"
1940-01-01,27.139,70.406395,21.289,0.0,0.0,0.41,0.394,0.16144708,1.0630205,Madrugada,"Point (-30, -60)"
1940-01-01,24.939,82.68516,21.789,0.0,0.0,0.409,0.394,0.043285027,0.5461669,Madrugada,"Point (-30, -60)"
1940-01-01,20.7,64.430725,13.75,,,0.0,0.0,,0.86869025,Madrugada,"Point (-30, 0)"
1940-01-01,20.75,64.23268,13.75,,,0.0,0.0,,0.8762164,Madrugada,"Point (-30, 0)"
1940-01-01,20.75,64.4416,13.8,,,0.0,0.0,,0.87109554,Madrugada,"Point (-30, 0)"
1940-01-01,20.75,64.86125,13.9,,,0.0,0.0,,0.8608098,Madrugada,"Point (-30, 0)"
1940-01-01,20.75,65.49524,14.05,,,0.0,0.0,,0.8452709,Madrugada,"Point (-30, 0)"
1940-01-01,20.8,65.71837,14.15,,,0.0,0.0,,0.84238386,Madrugada,"Point (-30, 0)"
1940-01-01,20.9,65.10419,14.1,,,0.0,0.0,,0.86276126,Madrugada,"Point (-30, 0)"
